company_id,type,rule_id,text,confidence_pct
ABB,pro,ROE >= 20%,Strong return on equity of 32.5%.,90
ABB,pro,NPM >= 15%,Healthy net profit margin of 20.5%.,85
ABB,pro,D/E <= 0.5,"Low debt-to-equity of 0.02, indicating conservative leverage.",90
ABB,pro,ICR >= 5,Strong interest coverage of 141.8x.,88
ABB,pro,FCF > 0,Positive free cash flow of 1892.0 crore.,82
ABB,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
ABB,pro,FCF conversion >= 80%,Strong free-cash-flow conversion of 130.2%.,88
ABB,pro,PAT CAGR >= 10%,Profit CAGR of 21.7% over five years.,88
ABB,pro,EPS CAGR >= 10%,EPS CAGR of 21.7% over five years.,88
ABB,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
ABB,con,CapEx intensity > 30%,High CapEx intensity of 91.6% may pressure free cash flow.,80
ADANIENSOL,pro,FCF > 0,Positive free cash flow of 1095.0 crore.,82
ADANIENSOL,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
ADANIENSOL,pro,Revenue CAGR >= 10%,Revenue CAGR of 17.9% over five years.,85
ADANIENSOL,pro,PAT CAGR >= 10%,Profit CAGR of 16.4% over five years.,88
ADANIENSOL,pro,EPS CAGR >= 10%,EPS CAGR of 14.9% over five years.,88
ADANIENSOL,con,ROE < 10%,Low return on equity of 9.5%.,85
ADANIENSOL,con,D/E > 1,Elevated debt-to-equity of 2.93.,90
ADANIENSOL,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
ADANIENSOL,con,FCF conversion < 50%,Weak free-cash-flow conversion of 19.2%.,82
ADANIENT,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
ADANIENT,pro,Revenue CAGR >= 10%,Revenue CAGR of 19.0% over five years.,85
ADANIENT,pro,PAT CAGR >= 10%,Profit CAGR of 45.8% over five years.,88
ADANIENT,pro,EPS CAGR >= 10%,EPS CAGR of 32.0% over five years.,88
ADANIENT,con,ROE < 10%,Low return on equity of 8.5%.,85
ADANIENT,con,NPM < 5%,Thin net profit margin of 3.5%.,85
ADANIENT,con,D/E > 1,Elevated debt-to-equity of 1.67.,90
ADANIENT,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
ADANIENT,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
ADANIENT,con,FCF conversion < 50%,Weak free-cash-flow conversion of -74.3%.,82
ADANIGREEN,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
ADANIGREEN,pro,Revenue CAGR >= 10%,Revenue CAGR of 35.0% over five years.,85
ADANIGREEN,con,D/E > 1,Elevated debt-to-equity of 6.60.,90
ADANIGREEN,con,ICR < 2,Low interest coverage of 1.7x.,92
ADANIGREEN,con,FCF < 0,Negative free cash flow is a potential financial risk.,90
ADANIGREEN,con,CFO quality < 40,Weak cash-flow quality raises earnings-quality concerns.,85
ADANIGREEN,con,CapEx intensity > 30%,High CapEx intensity of 228.4% may pressure free cash flow.,80
ADANIGREEN,con,FCF conversion < 50%,Weak free-cash-flow conversion of -182.4%.,82
ADANIPORTS,pro,NPM >= 15%,Healthy net profit margin of 30.3%.,85
ADANIPORTS,pro,ICR >= 5,Strong interest coverage of 5.9x.,88
ADANIPORTS,pro,FCF > 0,Positive free cash flow of 8250.0 crore.,82
ADANIPORTS,pro,CFO > 0,Positive operating cash flow supports earnings quality.,80
ADANIPORTS,pro,Revenue CAGR >= 10%,Revenue CAGR of 19.6% over five years.,85
ADANIPORTS,pro,PAT CAGR >= 10%,Profit CAGR of 14.9% over five years.,88
